pid,lat,lon
60068|2457920495|2018866838,41.98830032,-87.83888245
60068|2460050718|2788495341,41.98609543,-87.83035278
60068|2462947900|3265650038,41.99685287,-87.85050201
60068|2469833498|2222865870,41.99336243,-87.82211304
60068|2474179543|0349078936,41.98923111,-87.82788086
60068|2480546133|4254595470,42.00727081,-87.85757446
60068|2492023396|2560605700,42.00977707,-87.84367371
60068|2499159146|1104922207,41.98829651,-87.83901215
60068|2524963361|3121532032,42.01211548,-87.82951355
60068|2544798820|2825968142,42.01125717,-87.82622528
60068|2567907709|2164120197,42.02163315,-87.85041046
60068|2568089687|1732814842,42.00481415,-87.85765839
60068|2587457912|2909420774,41.99953461,-87.83920288
60068|2599558393|2582376563,42.01110840,-87.83950043
60068|2630188722|2005996827,41.99569702,-87.82989502
60068|2652388182|0451155666,42.00338745,-87.84078217
60068|2667936767|4255920316,42.01763153,-87.82611847
60068|2685903756|2810202542,42.01498413,-87.85528564
60068|2713375621|1182329274,42.01772690,-87.85526276
60068|2722263849|0885568544,42.00527573,-87.84441376
60068|2722357720|0895293179,42.00987625,-87.83937836
60068|2729550420|4179334143,41.99185181,-87.82241058
60068|2731577181|2843626327,42.02151108,-87.81873322
60068|2734811377|0998459092,41.99791718,-87.85172272
60068|2738432983|2349055596,42.00874710,-87.84072876
60068|2741789815|3770642830,42.01065445,-87.84928131
60068|2749325732|1532948616,42.00534821,-87.82278442
60068|2753309874|0414356298,41.98708725,-87.84092712
60068|2780748630|1408853555,41.99525070,-87.82800293
60068|2796211734|4224290853,41.99450684,-87.82509613
60068|2807221422|1229658535,42.01060867,-87.85059357
60068|2810512802|1087292824,42.03358841,-87.86553955
60068|2818172256|0808988378,41.99684906,-87.82199860
60068|2829623794|3084374051,42.02998734,-87.84738922
60068|2878381865|4130995190,42.00698853,-87.83751678
60068|2878468500|3229052060,41.99002838,-87.84209442
60068|2891262345|0367273385,42.00122452,-87.82955933
60068|2900676967|4123090958,41.99348831,-87.82244873
60068|2912230290|0959404431,41.98834229,-87.82422638
60068|2916550147|3768455892,42.00313950,-87.82282257
60068|2917875173|0618972833,42.00349808,-87.83753204
60068|2921159478|1794533748,41.99015427,-87.84077454
60068|2933118550|2593479857,42.00171661,-87.84079742
60068|2942381740|2093358853,42.00972748,-87.84803009
60068|2951130138|1465891250,41.99020386,-87.83655548
60068|2981747961|0010322012,41.99465561,-87.83110046
60068|2993577949|0588015840,42.01284409,-87.82064819
60068|2994304268|3791860877,41.98838806,-87.82660675
60068|2998136690|1151607395,42.01899719,-87.81755829
60068|3010828830|3676658589,42.03394699,-87.85492706
60068|3036469217|0676721505,42.01088333,-87.84678650
60068|3046401920|0664858106,42.00208664,-87.85057068
60068|3051502662|1123413329,41.99050903,-87.82935333
60068|3060619891|0861230512,41.98829651,-87.83908081
60068|3067970989|3511877375,41.99205399,-87.84555817
60068|3083543323|2109544693,42.00254440,-87.84783173
60068|3086462582|0644785908,41.99445343,-87.84448242
60068|3127041745|2231015071,42.00531387,-87.84949493
60068|3142793806|3070566101,41.99547195,-87.83808136
60068|3146890505|4047632463,41.99524307,-87.83390808
60068|3177614808|2688280721,41.99423981,-87.82831573
60068|3199172741|4092353132,41.99530411,-87.82306671
60068|3202729471|0111071329,42.02308273,-87.86248016
60068|3209531182|1578747321,42.00087357,-87.84680176
60068|3210014824|1935508516,42.01759338,-87.83657074
60068|3218376703|0044074539,42.00340652,-87.84078217
60068|3227745748|3050825602,41.98836517,-87.83772278
60068|3235830608|3927905402,41.99557877,-87.82624054
60068|3244086286|0851022272,41.98957062,-87.82263947
60068|3245180325|3816903788,42.00174332,-87.84928131
60068|3247119730|0639210455,42.01634598,-87.82185364
60068|3247196171|3226606137,41.99448013,-87.82518005
60068|3254105467|1017532842,42.01307678,-87.84311676
60068|3257607988|0832250212,41.99875641,-87.85173035
60068|3259673281|0722131954,42.03311157,-87.86441040
60068|3262337430|3872714843,42.00970459,-87.85070038
60068|3265447793|3274919077,42.02589417,-87.85814667
60068|3295812644|2160872191,41.98685074,-87.82784271
60068|3303056312|4144386476,42.02375412,-87.82648468
60068|3360046642|3032736727,42.00796890,-87.84791565
60068|3364578205|1409536615,41.99972534,-87.84563446
60068|3395785681|4112818803,42.04343414,-87.84836578
60068|3400783256|3567585944,41.99961853,-87.84925842
60068|3407439608|0733230146,42.01856995,-87.84919739
60068|3418386877|2256069323,42.00712967,-87.84432220
60068|3418874612|2942797982,41.99348068,-87.82243347
60068|3428200829|3411813940,41.99715805,-87.83254242
60068|3435581209|1114165123,42.00395584,-87.82529449
60068|3454449233|1648109694,41.99471664,-87.82858276
60068|3464648969|2565289639,42.01081848,-87.84394073
60068|3481441858|1982456680,41.98808289,-87.83162689
60068|3493712903|0592060707,41.99932480,-87.83924103
60068|3509678310|0421361200,42.02457428,-87.82142639
60068|3510141457|2618783008,42.02536011,-87.81929779
60068|3515387825|2241201078,42.01822281,-87.86375427
60068|3521124714|0362577185,42.03970718,-87.84754181
60068|3543562411|4265270108,42.01986313,-87.86374664
60068|3556581315|2021595527,41.99547577,-87.83802032
60068|3588730728|1504054734,42.00572586,-87.82346344
60068|3592539976|2213024863,42.01901627,-87.84600067
60068|3602090175|3554052827,42.04167938,-87.84750366
60068|3609864761|0944499313,41.99274445,-87.82450104
60068|3629533790|4175626535,42.02910233,-87.85865784
60068|3651043592|0152474293,42.00362015,-87.83121490
60068|3653473404|4003476949,41.99857712,-87.83121490
60068|3669377631|0132560103,41.99585342,-87.83647156
60068|3696568922|0626328897,41.98991394,-87.84077454
60068|3720551271|3985980811,42.00227356,-87.85058594
60068|3723460903|4113555799,42.03423309,-87.85489655
60068|3731176144|4115048519,42.01073074,-87.85530090
60068|3739525273|0778700421,42.00444031,-87.83916473
60068|3765823349|0245332819,42.00844574,-87.84310913
60068|3779691672|1645809191,42.00698471,-87.84560394
